generation,scenario,id,normPref,aprioriAck,legalAck,careAck,epistemicAck,attempts,successes,conflict,debt,momentum,trustCount,trustMax,fulfilled,denied,expired,repaired,role,temperament,moralStance,scenarioGroup,memoryLength,affiliation,enableMoralRepair,enableDirectedEmergence,enableNonReciprocalTargeting,batchRun
21,utopian,10355,legal,true,true,true,true,0,0,0,0,0.534,0,0,0,0,0,0,responder,0.9359162593354658,proactive,utopian,0.3472567710406924,pref_legal,true,true,true,1
21,utopian,10356,care,true,true,true,false,0,0,0,0,1.000,0,0,0,0,0,0,disruptor,0.0901454530458019,reactive,pluralist,0.3188035325663532,pref_care,true,true,true,1
21,utopian,10357,care,true,true,true,true,0,0,0,0,0.763,0,0,0,0,0,0,responder,0.025578015384555286,proactive,utopian,0.852096309904592,pref_care,true,true,true,1
21,utopian,10358,apriori,true,true,true,true,0,0,0,0,0.406,0,0,0,0,0,0,disruptor,0.706546347710934,reactive,utopian,0.4712487793795845,pref_apriori,true,true,true,1
21,utopian,10360,legal,true,true,true,true,0,0,0,0,0.585,0,0,0,0,0,0,responder,0.7050782749339649,reactive,utopian,0.7660457797695734,pref_legal,true,true,true,1
21,utopian,10361,care,true,true,true,true,0,0,0,0,0.718,0,0,0,0,0,0,responder,0.7466227115257518,proactive,utopian,0.5869588339556483,pref_care,true,true,true,1
21,utopian,10362,legal,true,true,true,true,0,0,0,0,0.552,0,0,0,0,0,0,initiator,0.6807221775471815,proactive,utopian,0.9588225293587243,pref_legal,true,true,true,1
21,utopian,10363,legal,true,true,false,true,0,0,0,0,0.649,0,0,0,0,0,0,mediator,0.10551408683182317,reactive,pluralist,0.7823047368641498,pref_legal,true,true,true,1
21,utopian,10364,epistemic,true,true,true,true,0,0,0,0,0.721,0,0,0,0,0,0,responder,0.5940792314320296,reactive,utopian,0.7451644415243448,pref_epistemic,true,true,true,1
21,utopian,10365,care,true,true,true,true,0,0,0,0,0.517,0,0,0,0,0,0,disruptor,0.23523544604323388,proactive,utopian,0.956664758998879,pref_care,true,true,true,1
21,utopian,10366,epistemic,true,true,true,true,0,0,0,0,0.517,0,0,0,0,0,0,initiator,0.04718282379387673,reactive,utopian,0.2962533982949892,pref_epistemic,true,true,true,1
21,utopian,10368,legal,true,true,true,false,0,0,0,0,0.878,0,0,0,0,0,0,disruptor,0.8606043884899636,reactive,pluralist,0.25797508265936586,pref_legal,true,true,true,1
21,utopian,10369,legal,true,false,true,true,0,0,0,0,0.433,0,0,0,0,0,0,responder,0.9515345838758125,reactive,pluralist,0.6746917070343617,pref_legal,true,true,true,1
21,utopian,10371,apriori,true,true,true,true,0,0,0,0,0.436,0,0,0,0,0,0,responder,0.8105430483524974,proactive,utopian,0.3512047128585722,pref_apriori,true,true,true,1
21,utopian,10372,legal,false,true,true,true,0,0,0,0,0.886,0,0,0,0,0,0,disruptor,0.2228534363868271,reactive,pluralist,0.8366564627821531,pref_legal,true,true,true,1
21,utopian,10374,epistemic,true,true,true,true,0,0,0,0,0.993,0,0,0,0,0,0,mediator,0.05933714751080588,reactive,utopian,0.7888626019862452,pref_epistemic,true,true,true,1
21,utopian,10375,apriori,true,true,true,false,0,0,0,0,0.579,0,0,0,0,0,0,mediator,0.01970662559139802,proactive,pluralist,0.938431680116816,pref_apriori,true,true,true,1
